STAT						FAS							
Gender	M	M	F	F		Gender	M	M	F	F	U	M	F
Yr Start	1983	2015	1983	2015		Rider	GMWB	____	GMWB	____	____	i4L_	i4L_
Yr End	2014	9999	2014	9999									
0	1.448	0	1.148	0		0	1.013	1.013	1.023	1.023	1.018465	1.013	1.023
1	0.635	0.338	0.517	0.332		1	0.342	0.342	0.335	0.335	0.3385795	0.342	0.335
2	0.411	0.252	0.307	0.219		2	0.255	0.255	0.221	0.221	0.2376873	0.255	0.221
3	0.344	0.202	0.235	0.158		3	0.204	0.204	0.16	0.16	0.1817876	0.204	0.16
4	0.306	0.171	0.19	0.131		4	0.173	0.173	0.133	0.133	0.1527016	0.173	0.133
5	0.281	0.167	0.156	0.121		5	0.168	0.168	0.123	0.123	0.1454301	0.168	0.123
6	0.264	0.162	0.13	0.114		6	0.165	0.165	0.115	0.115	0.139522	0.165	0.115
7	0.275	0.151	0.118	0.103		7	0.153	0.153	0.104	0.104	0.1281603	0.153	0.104
8	0.309	0.136	0.119	0.092		8	0.137	0.137	0.093	0.093	0.1149807	0.137	0.093
9	0.337	0.121	0.123	0.087		9	0.123	0.123	0.087	0.087	0.1049824	0.123	0.087
10	0.36	0.112	0.129	0.085		10	0.114	0.114	0.086	0.086	0.0999832	0.114	0.086
11	0.379	0.121	0.137	0.09		11	0.123	0.123	0.091	0.091	0.1068002	0.123	0.091
12	0.395	0.15	0.147	0.101		12	0.152	0.152	0.102	0.102	0.1267969	0.152	0.102
13	0.408	0.191	0.158	0.119		13	0.193	0.193	0.121	0.121	0.1567918	0.193	0.121
14	0.419	0.233	0.17	0.143		14	0.235	0.235	0.145	0.145	0.1904225	0.235	0.145
15	0.431	0.273	0.183	0.167		15	0.275	0.275	0.169	0.169	0.2222354	0.275	0.169
16	0.443	0.31	0.197	0.188		16	0.313	0.313	0.19	0.19	0.2513214	0.313	0.19
17	0.456	0.343	0.211	0.204		17	0.346	0.346	0.206	0.206	0.2763172	0.346	0.206
18	0.471	0.373	0.226	0.216		18	0.376	0.376	0.217	0.217	0.2967683	0.376	0.217
19	0.489	0.4	0.242	0.224		19	0.404	0.404	0.226	0.226	0.3149471	0.404	0.226
20	0.509	0.428	0.257	0.231		20	0.432	0.432	0.233	0.233	0.3322169	0.432	0.233
21	0.53	0.458	0.273	0.237		21	0.463	0.463	0.239	0.239	0.3508501	0.463	0.239
22	0.554	0.493	0.289	0.242		22	0.497	0.497	0.245	0.245	0.3708468	0.497	0.245
23	0.579	0.533	0.306	0.246		23	0.538	0.538	0.248	0.248	0.3931158	0.538	0.248
24	0.604	0.578	0.322	0.248		24	0.5840001	0.5840001	0.251	0.251	0.4172026	0.5840001	0.251
25	0.627	0.628	0.339	0.253		25	0.634	0.634	0.255	0.255	0.4444708	0.634	0.255
26	0.649	0.671	0.354	0.258		26	0.678	0.678	0.261	0.261	0.4694666	0.678	0.261
27	0.667	0.699	0.369	0.265		27	0.705	0.705	0.268	0.268	0.4867364	0.705	0.268
28	0.681	0.718	0.382	0.275		28	0.725	0.725	0.278	0.278	0.5017339	0.725	0.278
29	0.69	0.734	0.395	0.29		29	0.742	0.742	0.294	0.294	0.5176403	0.742	0.294
30	0.696	0.746	0.408	0.31		30	0.754	0.754	0.314	0.314	0.5335467	0.754	0.314
31	0.699	0.752	0.419	0.329		31	0.7600001	0.7600001	0.333	0.333	0.5462719	0.7600001	0.333
32	0.7	0.755	0.43	0.344		32	0.757	0.757	0.347	0.347	0.5521799	0.757	0.347
33	0.701	0.756	0.442	0.358		33	0.744	0.744	0.361	0.361	0.5521799	0.744	0.361
34	0.703	0.756	0.456	0.373		34	0.726	0.726	0.376	0.376	0.551271	0.726	0.376
35	0.711	0.756	0.472	0.391		35	0.714	0.714	0.395	0.395	0.5549068	0.714	0.395
36	0.734	0.756	0.492	0.415		36	0.719	0.719	0.419	0.419	0.5689953	0.719	0.419
37	0.772	0.756	0.518	0.446		37	0.744	0.744	0.45	0.45	0.5967179	0.744	0.45
38	0.83	0.778	0.549	0.483		38	0.784	0.784	0.488	0.488	0.6362568	0.784	0.488
39	0.908	0.829	0.588	0.528		39	0.838	0.838	0.533	0.533	0.6853394	0.838	0.533
40	1.009	0.892	0.633	0.576		40	0.902	0.902	0.582	0.582	0.7416936	0.902	0.582
41	1.133	0.962	0.686	0.625		41	0.972	0.972	0.632	0.632	0.8016835	0.972	0.632
42	1.281	1.034	0.748	0.673		42	1.044	1.044	0.68	0.68	0.8621278	1.044	0.68
43	1.454	1.105	0.818	0.718		43	1.116	1.116	0.725	0.725	0.9207544	1.116	0.725
44	1.649	1.18	0.897	0.76		44	1.192	1.192	0.767	0.767	0.9793809	1.192	0.767
45	1.863	1.268	0.987	0.802		45	1.281	1.281	0.81	0.81	1.045279	1.281	0.81
46	2.092	1.386	1.088	0.855		46	1.399	1.399	0.863	0.863	1.131174	1.399	0.863
47	2.335	1.54	1.201	0.924		47	1.555	1.555	0.933	0.933	1.244336	1.555	0.933
48	2.59	1.728	1.327	1.007		48	1.745	1.745	1.018	1.018	1.381586	1.745	1.018
49	2.857	1.943	1.465	1.106		49	1.961	1.961	1.117	1.117	1.539287	1.961	1.117
50	3.136	2.179	1.616	1.234		50	2.201	2.201	1.246	1.246	1.723347	2.201	1.246
51	3.427	2.423	1.779	1.384		51	2.416	2.39	1.362	1.355	1.872646	2.416	1.362
52	3.73	2.662	1.955	1.536		52	2.647	2.59	1.459	1.444	2.01714	2.647	1.459
53	4.043	2.895	2.145	1.693		53	2.841	2.75	1.565	1.541	2.145547	2.841	1.565
54	4.368	3.132	2.35	1.862		54	3.065	2.934	1.673	1.638	2.285744	3.065	1.673
55	4.705	3.391	2.573	2.052		55	3.277	3.102	1.774	1.725	2.413519	3.277	1.774
56	5.052	3.687	2.815	2.276		56	3.423	3.372	1.892	1.915	2.643179	3.562	1.969
57	5.41	4.029	3.08	2.549		57	3.56	3.649	2.036	2.145	2.896636	3.855	2.205
58	5.79	4.422	3.37	2.877		58	3.755	4.005	2.208	2.42	3.21226	4.231	2.488
59	6.207	4.863	3.693	3.257		59	3.93	4.362	2.379	2.713	3.537609	4.608	2.79
60	6.68	5.354	4.052	3.688		60	4.159	4.803	2.589	3.073	3.938166	5.074	3.16
61	7.225	5.891	4.455	4.162		61	4.576	5.284	2.922	3.469	4.376588	5.582	3.566
62	7.862	6.463	4.905	4.67		62	5.021	5.798	3.28	3.893	4.845472	6.125	4.002
63	8.606	7.077	5.407	5.219		63	5.5	6.35	3.665	4.35	5.349906	6.708	4.472
64	9.472	7.751	5.96	5.826		64	6.024	6.954	4.091	4.855	5.904684	7.346	4.992
65	10.475	8.326	6.563	6.348		65	6.471	7.47	4.459	5.291	6.380955	7.891	5.44
66	11.63	8.811	7.215	6.794		66	6.849	8.049	4.774	5.767	6.908129	8.351	5.823
67	12.95	9.391	7.92	7.332		67	7.3	8.735001	5.153	6.337	7.53592	8.9	6.285
68	14.44	10.084	8.693	7.968		68	7.84	9.549001	5.6	7.012	8.280604	9.557	6.83
69	16.099	10.908	9.566	8.691		69	8.481	10.516	6.11	7.788	9.152101	10.337	7.451
70	17.927	11.884	10.573	9.49		70	9.243	11.666	6.673	8.658999	10.16224	11.264	8.137
71	19.919	13.043	11.748	10.366		71	10.555	13.033	7.586	9.63	11.33149	12.362	8.889
72	22.076	14.407	13.124	11.33		72	12.132	14.655	8.627999	10.716	12.68567	13.655	9.716001
73	24.412	15.998	14.725	12.403		73	14.015	16.564	9.828	11.942	14.25316	15.163	10.637
74	26.957	17.829	16.57	13.624		74	16.248	18.788	11.234	13.355	16.07167	16.899	11.686
75	29.741	19.912	18.675	15.035		75	18.873	21.354	12.899	15.004	18.17913	18.873	12.899
76	32.797	22.272	21.054	16.668		76	21.273	23.879	14.413	16.633	20.25583	21.273	14.413
77	36.156	24.941	23.727	18.557		77	24.006	26.732	16.175	18.518	22.62475	24.006	16.175
78	39.843	27.952	26.729	20.764		78	27.11	29.95	18.243	20.719	25.33436	27.11	18.243
79	43.879	31.376	30.111	23.38		79	30.661	33.604	20.704	23.328	28.46609	30.661	20.704
80	48.286	35.347	33.926	26.564		80	34.801	37.84	23.712	26.503	32.17129	34.801	23.712
81	53.082	39.852	38.227	30.4		81	39.911	43.051	27.618	30.621	36.83617	39.911	27.618
82	58.288	44.795	43.068	34.879		82	45.628	48.83	31.94	35.129	41.9795	45.628	31.94
83	63.922	50.267	48.506	40.027		83	51.57	54.759	37.303	40.698	47.72834	51.57	37.303
84	70.002	56.453	54.599	45.846		84	58.889	62.043	43.48	47.058	54.5504	58.889	43.48
85	76.546	63.566	61.409	52.3		85	67.41	70.471	49.993	53.677	62.07351	67.41	49.993
86	83.571	71.773	68.993	59.351		86	76.247	79.394	56.882	60.821	70.10781	76.247	56.882
87	91.091	81.165	77.395	66.974		87	86.382	89.594	64.365	68.54	79.06725	86.382	64.365
88	99.105	91.757	86.579	75.129		88	96.913	100.128	72.415	76.798	88.46313	96.913	72.415
89	107.593	103.496	96.423	83.756		89	109.536	112.734	80.206	84.72	98.72701	109.536	80.206
90	116.532	116.174	106.791	92.723		90	123.228	126.346	89.08701	93.724	110.0347	123.228	89.08701
91	125.899	129.683	117.546	102.129		91	136.58	139.521	97.52	102.195	120.8579	136.58	97.52
92	135.673	144.117	128.551	112.425		92	152.181	154.896	107.752	112.473	133.6846	152.181	107.752
93	145.832	159.523	139.684	124.184		93	168.931	171.341	118.355	123.063	147.2019	168.931	118.355
94	156.36	175.944	150.829	138.167		94	185.128	187.133	132.281	137.003	162.0679	185.128	132.281
95	167.239	190.675	161.876	154.489		95	201.347	202.865	147.227	151.896	177.3801	201.347	147.227
96	178.451	205.083	172.711	171.097		96	216.573	220.169	163.438	170.159	195.164	216.573	163.438
97	190.203	222.561	183.542	187.111		97	237.353	243.329	180.89	189.955	216.6421	237.353	180.89
98	202.976	240.275	194.955	203.726		98	256.316	264.87	197.41	209.015	236.9422	256.316	197.41
99	217.244	258.199	207.531	220.888		99	278.16	289.554	216.67	231.15	260.3517	278.16	216.67
100	233.483	277.651	221.852	239.758		100	299.726	314.129	237.487	255.119	284.6239	299.726	237.487
101	252.162	299.081	238.497	260.71		101	322.933	334.934	265.556	280.362	307.6477	322.933	265.556
102	273.748	320.863	258.037	282.301		102	346.84	356.168	293.664	305.193	330.6808	346.84	293.664
103	298.7	342.855	281.038	304.391		103	367.495	373.883	319.691	327.572	350.7276	367.495	319.691
104	327.47	365.526	308.057	326.827		104	389.842	393.116	349.334	353.366	373.2411	389.842	349.334
105	360.499	387.654	339.639	349.11		105	400	400	375.531	375.531	387.7655	400	375.531
106	398.213	400	376.313	370.836		106	400	400	392.314	392.314	396.157	400	392.314
107	441.023	400	418.587	390.168		107	400	400	400	400	400	400	400
108	489.314	400	466.941	400		108	400	400	400	400	400	400	400
109	543.434	400	521.812	400		109	400	400	400	400	400	400	400
110	603.688	400	583.586	400		110	400	400	400	400	400	400	400
111	670.31	400	652.56	400		111	400	400	400	400	400	400	400
112	743.431	400	728.907	400		112	400	400	400	400	400	400	400
113	823.02	400	812.6	400		113	400	400	400	400	400	400	400
114	908.788	400	903.28	400		114	400	400	400	400	400	400	400
115	1000	400	1000	400		115	400	400	400	400	400	400	400
116	1000	400	1000	400		116	400	400	400	400	400	400	400
117	1000	400	1000	400		117	400	400	400	400	400	400	400
118	1000	400	1000	400		118	400	400	400	400	400	400	400
119	1000	625	1000	625		119	625	625	625	625	625	625	625
120	1000	1000	1000	1000		120	1000	1000	1000	1000	1000	1000	1000
